ID,Age,Overall,Potential,Value,Wage,height,weight,crossing,finishing,heading_accuracy,short_passing,volleys,acceleration,sprint_speed,agility,reactions,balance,dribbling,curve,fk_accuracy,long_passing,ball_control,shot_power,jumping,stamina,strength,long_shots,aggression,interception,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot,weak_foot,skill_move,international_reputation,work_rate,Position_Category,body_type_clean
231747,23,91,95,190500000.0,230000.0,182.0,73.0,78,93,72,85,83.0,97,97,93,93.0,81.0,93,80,69,71,91.0,88,77,87,76,82.0,64,38,92.0,83.0,80.0,88.0,26,34,32.0,13,5,7,11,6,1,4.0,5.0,4.0,1,1,3
234577,22,80,86,27500000.0,11000.0,188.0,84.0,13,6,11,39,8.0,30,36,36,79.0,35.0,18,10,10,44,30.0,59,58,25,63,9.0,23,18,18.0,61.0,14.0,44.0,19,13,11.0,78,77,79,79,84,1,2.0,1.0,1.0,8,3,1
251805,21,80,88,44500000.0,14000.0,179.0,77.0,60,41,71,80,41.0,78,83,73,78.0,74.0,76,44,31,70,78.0,58,85,81,82,46.0,76,82,63.0,64.0,42.0,85.0,83,83,77.0,6,6,8,14,14,1,3.0,3.0,2.0,2,2,1
256079,20,73,82,6500000.0,30000.0,178.0,71.0,52,57,52,75,52.0,75,71,70,63.0,76.0,67,51,54,68,71.0,72,78,79,62,70.0,71,76,65.0,68.0,54.0,72.0,74,74,72.0,15,6,13,9,13,1,3.0,3.0,1.0,0,0,1
20801,37,90,90,41000000.0,220000.0,187.0,83.0,78,92,90,80,85.0,79,82,77,93.0,67.0,84,81,79,75,88.0,93,95,74,75,90.0,63,29,94.0,76.0,90.0,95.0,24,32,24.0,7,11,15,14,11,1,4.0,5.0,5.0,1,1,3
253072,23,82,89,61500000.0,120000.0,186.0,80.0,67,83,76,69,79.0,88,88,78,85.0,67.0,76,75,61,60,77.0,86,76,89,87,75.0,78,41,85.0,71.0,78.0,83.0,36,39,33.0,14,10,12,10,13,1,3.0,3.0,1.0,0,1,0
242516,23,83,87,52000000.0,29000.0,189.0,76.0,83,82,60,76,75.0,86,87,81,81.0,71.0,86,78,76,68,84.0,86,75,76,77,83.0,60,39,81.0,79.0,68.0,78.0,43,38,28.0,15,11,7,9,5,1,4.0,4.0,2.0,8,1,0
253177,19,74,84,9000000.0,16000.0,178.0,73.0,66,68,49,75,48.0,82,87,70,68.0,66.0,77,60,54,65,76.0,77,64,71,69,73.0,59,64,70.0,66.0,50.0,65.0,65,65,60.0,15,6,14,6,10,1,3.0,4.0,1.0,2,0,1
192985,31,91,91,107500000.0,350000.0,181.0,75.0,94,85,55,93,83.0,76,73,76,91.0,78.0,88,89,83,93,90.0,92,63,89,74,91.0,75,64,88.0,94.0,83.0,89.0,65,65,53.0,15,13,5,10,13,1,5.0,4.0,4.0,2,0,3
253004,19,79,90,38000000.0,84000.0,178.0,66.0,69,82,66,73,69.0,90,87,89,77.0,82.0,82,75,73,69,80.0,74,75,63,48,72.0,48,19,80.0,74.0,74.0,82.0,23,32,28.0,6,9,8,10,7,1,4.0,4.0,2.0,2,1,3
266032,17,67,87,2800000.0,2000.0,175.0,70.0,59,64,42,63,59.0,86,79,86,59.0,82.0,78,59,42,43,74.0,56,71,56,52,45.0,38,24,58.0,54.0,53.0,49.0,20,22,24.0,6,5,12,7,8,1,3.0,4.0,1.0,8,0,1
53985,47,48,48,3000.0,700.0,188.0,86.0,15,14,9,27,11.0,12,13,19,52.0,49.0,10,13,11,30,27.0,40,22,11,52,12.0,40,26,16.0,36.0,11.0,61.0,11,9,17.0,39,52,53,61,32,1,3.0,1.0,1.0,8,3,2
255565,25,74,77,5500000.0,47000.0,178.0,71.0,60,73,45,72,66.0,88,77,86,73.0,66.0,78,67,62,59,76.0,65,65,68,60,68.0,58,57,69.0,70.0,63.0,73.0,56,59,54.0,10,13,10,14,9,1,3.0,4.0,1.0,7,0,1
265188,18,70,85,3500000.0,6000.0,194.0,75.0,34,23,70,63,34.0,55,55,38,72.0,49.0,45,32,22,44,67.0,44,71,68,67,28.0,67,73,28.0,42.0,35.0,69.0,72,74,72.0,6,12,12,9,6,1,3.0,2.0,1.0,8,2,1
247819,22,82,88,44500000.0,47000.0,191.0,86.0,48,49,85,75,51.0,77,76,68,81.0,66.0,72,49,35,79,71.0,75,78,73,82,60.0,81,82,56.0,67.0,38.0,76.0,82,86,80.0,8,10,8,14,13,0,3.0,3.0,1.0,0,2,1
208450,26,76,79,10000000.0,51000.0,177.0,70.0,78,69,56,76,72.0,77,75,79,74.0,77.0,79,83,81,76,78.0,82,65,76,60,78.0,79,68,71.0,77.0,70.0,71.0,67,66,63.0,15,14,7,10,7,1,4.0,4.0,1.0,8,0,1
212190,26,85,87,59000000.0,72000.0,195.0,99.0,48,30,84,79,49.0,60,81,34,82.0,44.0,57,33,38,77,64.0,78,60,65,94,62.0,86,81,42.0,66.0,32.0,82.0,83,89,87.0,15,7,14,7,15,1,3.0,3.0,3.0,8,2,2
231866,26,87,89,88500000.0,200000.0,191.0,82.0,63,64,80,86,59.0,54,62,65,82.0,65.0,78,65,61,83,85.0,89,72,88,84,82.0,82,83,75.0,83.0,46.0,85.0,84,86,78.0,10,10,7,14,8,1,4.0,3.0,3.0,6,0,1
246430,22,84,91,86500000.0,140000.0,190.0,75.0,57,88,79,71,78.0,77,83,63,85.0,53.0,81,75,75,59,85.0,84,71,79,88,82.0,65,24,88.0,68.0,77.0,80.0,19,26,24.0,5,15,6,11,10,0,3.0,3.0,2.0,8,1,1
268421,17,64,84,1600000.0,2000.0,183.0,77.0,53,60,52,63,57.0,78,76,73,58.0,74.0,73,58,52,56,68.0,72,61,50,67,61.0,44,17,61.0,60.0,56.0,65.0,21,26,31.0,12,9,15,7,11,1,3.0,3.0,1.0,8,1,1
243854,22,78,86,29500000.0,39000.0,187.0,82.0,54,33,77,70,28.0,70,71,59,76.0,61.0,62,49,32,69,66.0,61,77,74,82,29.0,79,81,44.0,63.0,47.0,74.0,76,86,76.0,8,6,6,11,15,1,2.0,2.0,1.0,8,2,1
246053,20,72,83,5000000.0,22000.0,179.0,76.0,48,73,55,69,65.0,76,74,74,70.0,80.0,80,57,45,58,76.0,79,72,71,74,67.0,60,23,72.0,65.0,65.0,72.0,32,23,18.0,6,13,6,10,12,0,3.0,3.0,1.0,0,1,2
254796,20,77,86,23000000.0,16000.0,182.0,73.0,65,72,42,71,67.0,92,89,84,74.0,80.0,85,75,63,64,81.0,73,76,64,64,72.0,53,31,67.0,69.0,61.0,71.0,42,32,37.0,5,13,6,12,15,0,4.0,4.0,1.0,7,1,0
207421,27,79,79,18500000.0,71000.0,171.0,67.0,77,78,65,77,74.0,89,76,92,72.0,85.0,81,82,69,74,78.0,78,78,76,60,79.0,47,18,77.0,76.0,75.0,82.0,30,31,18.0,14,8,11,7,7,1,4.0,4.0,1.0,2,0,1
235790,23,84,91,84500000.0,130000.0,189.0,82.0,74,81,80,84,80.0,76,85,77,84.0,75.0,85,84,53,79,85.0,74,75,77,69,78.0,42,38,82.0,82.0,73.0,84.0,39,46,38.0,6,8,11,10,12,0,4.0,4.0,3.0,8,0,3
239301,24,81,86,35000000.0,95000.0,178.0,77.0,75,52,76,80,56.0,77,72,75,79.0,79.0,76,68,55,82,79.0,72,91,85,81,66.0,86,82,62.0,74.0,55.0,84.0,83,83,81.0,6,14,13,14,8,0,3.0,3.0,2.0,6,2,1
262138,19,76,86,15000000.0,25000.0,184.0,73.0,59,41,73,76,42.0,71,75,69,76.0,64.0,69,54,26,72,71.0,55,75,72,75,38.0,72,76,44.0,67.0,39.0,76.0,76,79,76.0,8,10,14,11,13,0,2.0,2.0,1.0,8,2,0
206517,26,84,84,46000000.0,185000.0,180.0,81.0,82,76,36,84,72.0,78,75,84,81.0,84.0,88,78,74,81,87.0,76,32,80,70,79.0,60,44,81.0,86.0,58.0,88.0,48,49,43.0,11,6,11,10,13,1,3.0,4.0,3.0,2,1,3
235073,24,84,88,48000000.0,44000.0,195.0,88.0,13,10,13,39,10.0,38,51,37,82.0,29.0,24,13,12,33,34.0,56,68,30,81,10.0,24,14,10.0,59.0,12.0,66.0,15,15,15.0,84,84,74,81,88,1,3.0,1.0,1.0,8,3,1
238794,21,86,92,109000000.0,200000.0,176.0,73.0,72,84,50,75,72.0,95,95,94,82.0,83.0,92,77,62,73,89.0,76,75,84,62,76.0,58,26,82.0,75.0,65.0,79.0,32,25,18.0,5,7,7,7,10,1,4.0,5.0,2.0,0,1,0
243715,21,80,88,44500000.0,58000.0,192.0,85.0,58,37,67,79,34.0,77,80,50,79.0,59.0,72,55,35,73,78.0,60,72,69,84,23.0,82,83,43.0,62.0,47.0,76.0,80,84,79.0,7,10,6,8,11,1,3.0,2.0,2.0,6,2,1
247851,24,82,87,46000000.0,95000.0,182.0,74.0,68,68,61,85,66.0,68,69,74,82.0,78.0,81,75,62,83,83.0,66,62,84,77,67.0,77,78,75.0,85.0,65.0,85.0,77,81,75.0,7,11,15,11,11,1,2.0,3.0,2.0,0,0,1
250723,21,77,86,23500000.0,21000.0,185.0,80.0,70,71,68,78,55.0,75,67,76,75.0,76.0,84,70,50,77,82.0,74,70,75,73,68.0,71,67,69.0,78.0,54.0,76.0,64,74,70.0,11,10,11,9,10,1,3.0,4.0,1.0,8,0,0
252145,20,80,88,44000000.0,54000.0,176.0,70.0,78,45,68,77,54.0,90,89,81,78.0,82.0,77,66,59,70,79.0,80,70,80,69,63.0,73,74,73.0,70.0,45.0,75.0,73,78,74.0,7,8,8,12,15,0,4.0,3.0,1.0,2,2,0
259356,18,64,84,1600000.0,7000.0,187.0,70.0,53,66,46,71,52.0,67,63,57,55.0,75.0,72,55,46,67,72.0,56,50,50,61,46.0,58,47,66.0,69.0,58.0,69.0,50,49,54.0,12,12,9,11,10,1,4.0,4.0,1.0,8,0,0
262118,19,75,85,11500000.0,22000.0,181.0,71.0,68,47,55,73,41.0,82,83,78,72.0,79.0,74,64,51,57,72.0,47,66,74,62,46.0,70,75,60.0,57.0,41.0,66.0,67,74,71.0,10,12,8,13,13,1,4.0,2.0,1.0,2,2,1
265194,17,65,84,1800000.0,2000.0,184.0,79.0,42,72,68,54,52.0,68,69,66,57.0,63.0,68,48,54,43,65.0,66,73,56,60,62.0,45,18,61.0,55.0,60.0,47.0,20,17,17.0,6,6,7,6,15,1,4.0,3.0,1.0,2,1,1
244067,22,77,86,22000000.0,34000.0,190.0,88.0,35,29,74,72,28.0,85,89,64,78.0,55.0,66,37,26,66,68.0,46,80,67,82,27.0,74,80,32.0,50.0,38.0,80.0,79,78,75.0,14,7,12,12,11,1,2.0,2.0,2.0,6,2,1
255475,22,82,88,49000000.0,130000.0,174.0,63.0,79,76,45,76,67.0,95,91,92,77.0,85.0,85,84,74,62,88.0,75,57,81,62,78.0,76,39,76.0,79.0,66.0,82.0,46,37,21.0,9,10,14,8,13,0,2.0,5.0,3.0,2,1,1
234574,23,79,85,26000000.0,86000.0,184.0,76.0,78,52,73,78,44.0,80,79,77,75.0,71.0,81,80,52,70,77.0,79,85,80,75,68.0,80,75,77.0,74.0,47.0,76.0,71,77,77.0,10,6,10,6,8,1,4.0,4.0,2.0,2,2,1
236401,24,82,86,40500000.0,59000.0,183.0,65.0,79,69,65,83,56.0,83,84,86,78.0,69.0,83,69,42,76,84.0,68,69,88,70,61.0,69,80,84.0,77.0,44.0,79.0,75,78,80.0,12,7,13,12,12,1,3.0,3.0,2.0,1,2,0
238067,22,81,88,53000000.0,71000.0,190.0,79.0,64,75,64,79,60.0,89,86,79,77.0,76.0,82,65,60,68,85.0,79,65,75,87,71.0,89,60,86.0,76.0,60.0,74.0,64,63,58.0,8,11,11,13,5,0,3.0,4.0,2.0,2,1,3
241486,23,84,89,57500000.0,150000.0,181.0,75.0,45,47,80,81,32.0,85,83,71,85.0,74.0,72,42,26,75,74.0,48,88,76,80,40.0,75,86,47.0,62.0,43.0,82.0,85,85,83.0,11,10,8,14,13,1,3.0,2.0,2.0,0,2,1
246669,20,82,89,60500000.0,76000.0,178.0,65.0,81,77,45,80,70.0,87,82,83,82.0,83.0,85,80,69,65,82.0,72,54,80,58,69.0,66,68,82.0,81.0,70.0,79.0,65,69,67.0,7,8,13,9,13,0,3.0,3.0,2.0,2,0,0
252042,20,71,84,4500000.0,22000.0,182.0,70.0,56,72,72,65,65.0,79,76,80,71.0,60.0,76,61,46,59,73.0,68,54,68,64,63.0,29,14,73.0,63.0,69.0,70.0,17,25,24.0,7,6,10,8,14,1,4.0,3.0,1.0,8,1,0
255001,20,76,88,18000000.0,58000.0,179.0,70.0,67,52,52,79,66.0,69,77,77,72.0,77.0,75,73,71,75,77.0,66,67,87,53,75.0,74,72,68.0,76.0,60.0,74.0,72,75,72.0,9,12,11,9,10,1,4.0,3.0,1.0,8,0,0
255253,22,79,89,39500000.0,68000.0,172.0,64.0,71,66,39,85,62.0,76,70,90,74.0,84.0,82,62,61,83,84.0,69,56,75,45,71.0,53,73,72.0,80.0,73.0,82.0,68,72,68.0,12,13,8,5,5,1,3.0,3.0,1.0,0,0,0
256903,21,76,85,17000000.0,11000.0,185.0,82.0,60,77,75,71,70.0,78,77,78,77.0,76.0,73,60,45,65,76.0,79,84,85,78,67.0,80,34,80.0,63.0,57.0,74.0,38,41,21.0,15,9,7,7,15,1,4.0,2.0,1.0,2,1,1
260823,21,73,85,7500000.0,47000.0,178.0,72.0,63,56,48,81,68.0,73,73,77,68.0,77.0,77,72,65,77,79.0,70,53,77,59,64.0,42,60,60.0,73.0,63.0,72.0,60,68,60.0,7,10,8,10,13,1,4.0,3.0,1.0,8,0,1
152729,35,82,82,8000000.0,105000.0,194.0,85.0,57,65,83,80,57.0,48,62,56,78.0,34.0,63,58,43,82,80.0,62,73,61,81,51.0,78,81,66.0,72.0,69.0,86.0,80,84,82.0,10,11,14,15,8,1,3.0,2.0,4.0,2,2,3
228092,24,75,81,8000000.0,22000.0,195.0,96.0,65,60,79,76,48.0,55,69,56,72.0,54.0,75,71,50,74,75.0,75,73,79,91,59.0,72,73,68.0,73.0,54.0,83.0,73,74,66.0,14,9,10,8,10,1,3.0,3.0,1.0,8,0,1
237086,25,79,83,22000000.0,49000.0,190.0,81.0,35,23,76,73,24.0,75,84,65,77.0,65.0,57,36,23,67,66.0,51,80,77,88,37.0,82,78,48.0,57.0,30.0,68.0,80,82,78.0,13,7,11,14,11,1,3.0,2.0,1.0,3,2,1
237383,23,84,90,60500000.0,75000.0,190.0,75.0,70,26,82,78,35.0,68,77,58,86.0,57.0,70,53,36,78,76.0,49,75,81,82,37.0,84,85,39.0,57.0,47.0,82.0,87,87,82.0,11,5,9,11,12,0,3.0,2.0,1.0,6,2,0
246104,20,79,88,38500000.0,45000.0,190.0,77.0,75,76,58,80,69.0,76,78,80,73.0,77.0,84,74,69,78,85.0,78,72,81,75,79.0,52,74,74.0,80.0,58.0,76.0,69,69,59.0,12,8,6,11,12,1,4.0,4.0,1.0,8,0,0
256197,20,78,85,26500000.0,33000.0,184.0,76.0,55,40,76,78,29.0,79,86,73,74.0,65.0,70,56,32,74,73.0,50,80,74,74,27.0,71,77,55.0,53.0,33.0,76.0,76,79,84.0,9,15,10,6,9,0,2.0,3.0,1.0,8,2,1
257470,20,74,85,9500000.0,63000.0,178.0,75.0,67,70,67,68,62.0,90,86,83,72.0,77.0,76,70,61,45,73.0,64,86,75,52,63.0,42,31,73.0,65.0,56.0,69.0,35,38,33.0,13,5,13,8,10,1,3.0,3.0,1.0,0,1,0
258972,19,68,84,2900000.0,7000.0,204.0,75.0,42,29,64,59,27.0,63,70,53,53.0,47.0,47,38,24,47,62.0,39,74,65,91,19.0,84,64,38.0,50.0,41.0,64.0,62,71,60.0,14,7,7,5,12,0,3.0,2.0,1.0,8,2,1
